_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608dddfe11522f1d30a125|626807|2023-05-14 07:29:32.176|3|SendData 003000|2023-05-14 07:39:58.983|packet|send|003000|62003000
64608dddfe11522f1d30a126|626918|2023-05-14 07:29:32.176|1|RecvData 003000|2023-05-14 07:39:59.094|packet|recv|003000|62003000
64608dddfe11522f1d30a127|630807|2023-05-14 07:29:32.176|3|SendData 003001|2023-05-14 07:40:02.983|packet|send|003001|63003001
64608dddfe11522f1d30a128|630837|2023-05-14 07:29:32.176|1|RecvData 003001|2023-05-14 07:40:03.013|packet|recv|003001|63003001
64608dddfe11522f1d30a129|633748|2023-05-14 07:29:32.176|4|SendData 004000|2023-05-14 07:40:05.924|packet|send|004000|63004000
64608dddfe11522f1d30a12a|633765|2023-05-14 07:29:32.176|1|RecvData 004000|2023-05-14 07:40:05.941|packet|recv|004000|63004000
64608dddfe11522f1d30a12b|634318|2023-05-14 07:29:32.176|5|SendData 005000|2023-05-14 07:40:06.494|packet|send|005000|63005000
64608dddfe11522f1d30a12c|634460|2023-05-14 07:29:32.176|2|RecvData 005000|2023-05-14 07:40:06.636|packet|recv|005000|63005000
64608dddfe11522f1d30a12d|634811|2023-05-14 07:29:32.176|3|SendData 003002|2023-05-14 07:40:06.987|packet|send|003002|63003002
64608ddefe11522f1d30a12e|635086|2023-05-14 07:29:32.176|1|RecvData 003002|2023-05-14 07:40:07.262|packet|recv|003002|63003002
64608ddefe11522f1d30a12f|637748|2023-05-14 07:29:32.176|4|SendData 004001|2023-05-14 07:40:09.924|packet|send|004001|63004001
64608ddefe11522f1d30a130|637999|2023-05-14 07:29:32.176|1|RecvData 004001|2023-05-14 07:40:10.175|packet|recv|004001|63004001
64608ddefe11522f1d30a131|638318|2023-05-14 07:29:32.176|5|SendData 005001|2023-05-14 07:40:10.494|packet|send|005001|63005001
64608ddefe11522f1d30a132|638379|2023-05-14 07:29:32.176|2|RecvData 005001|2023-05-14 07:40:10.555|packet|recv|005001|63005001
64608ddefe11522f1d30a133|638494|2023-05-14 07:29:32.176|6|SendData 006000|2023-05-14 07:40:10.670|packet|send|006000|63006000
64608ddefe11522f1d30a134|638814|2023-05-14 07:29:32.176|2|RecvData 006000|2023-05-14 07:40:10.990|packet|recv|006000|63006000
64608ddefe11522f1d30a135|638815|2023-05-14 07:29:32.176|3|SendData 003003|2023-05-14 07:40:10.991|packet|send|003003|63003003
64608ddefe11522f1d30a136|638930|2023-05-14 07:29:32.176|1|RecvData 003003|2023-05-14 07:40:11.106|packet|recv|003003|63003003
64608ddefe11522f1d30a137|641748|2023-05-14 07:29:32.176|4|SendData 004002|2023-05-14 07:40:13.924|packet|send|004002|64004002
64608ddefe11522f1d30a138|641843|2023-05-14 07:29:32.176|1|RecvData 004002|2023-05-14 07:40:14.019|packet|recv|004002|64004002
64608ddefe11522f1d30a139|642013|2023-05-14 07:29:32.176|7|SendData 007000|2023-05-14 07:40:14.189|packet|send|007000|64007000
64608ddefe11522f1d30a13a|642178|2023-05-14 07:29:32.176|2|RecvData 007000|2023-05-14 07:40:14.354|packet|recv|007000|64007000
64608ddefe11522f1d30a13b|642318|2023-05-14 07:29:32.176|5|SendData 005002|2023-05-14 07:40:14.494|packet|send|005002|64005002
64608ddefe11522f1d30a13c|642495|2023-05-14 07:29:32.176|6|SendData 006001|2023-05-14 07:40:14.671|packet|send|006001|64006001
64608ddefe11522f1d30a13d|642628|2023-05-14 07:29:32.176|2|RecvData 005002|2023-05-14 07:40:14.804|packet|recv|005002|64005002
64608ddefe11522f1d30a13e|642658|2023-05-14 07:29:32.176|2|RecvData 006001|2023-05-14 07:40:14.834|packet|recv|006001|64006001
64608ddefe11522f1d30a13f|642815|2023-05-14 07:29:32.176|3|SendData 003004|2023-05-14 07:40:14.991|packet|send|003004|64003004
64608ddffe11522f1d30a140|642849|2023-05-14 07:29:32.176|1|RecvData 003004|2023-05-14 07:40:15.025|packet|recv|003004|64003004
64608ddffe11522f1d30a141|645748|2023-05-14 07:29:32.176|4|SendData 004003|2023-05-14 07:40:17.924|packet|send|004003|64004003
