timestamp|node|log|direction|packet_id|type|_id|env_timestamp
610206|2|SendData 002001|send|002001|packet|6423a58627ad4a6b18d82d30|2023-03-29 03:02:09.129
610240|1|RecvData 002001|recv|002001|packet|6423a58727ad4a6b18d82d31|2023-03-29 03:02:09.197
610706|2|SendData 002002|send|002002|packet|6423a58827ad4a6b18d82d32|2023-03-29 03:02:10.129
610840|1|RecvData 002002|recv|002002|packet|6423a58927ad4a6b18d82d33|2023-03-29 03:02:10.397
611209|2|SendData 002003|send|002003|packet|6423a58a27ad4a6b18d82d34|2023-03-29 03:02:11.135
611321|1|RecvData 002003|recv|002003|packet|6423a58b27ad4a6b18d82d35|2023-03-29 03:02:11.359
611706|2|SendData 002004|send|002004|packet|6423a58c27ad4a6b18d82d36|2023-03-29 03:02:12.129
611801|1|RecvData 002004|recv|002004|packet|6423a58d27ad4a6b18d82d37|2023-03-29 03:02:12.319
612206|2|SendData 002005|send|002005|packet|6423a58e27ad4a6b18d82d38|2023-03-29 03:02:13.129
612282|1|RecvData 002005|recv|002005|packet|6423a58f27ad4a6b18d82d39|2023-03-29 03:02:13.281
612706|2|SendData 002006|send|002006|packet|6423a59027ad4a6b18d82d3a|2023-03-29 03:02:14.129
612762|1|RecvData 002006|recv|002006|packet|6423a59127ad4a6b18d82d3b|2023-03-29 03:02:14.241
613206|2|SendData 002007|send|002007|packet|6423a59227ad4a6b18d82d3c|2023-03-29 03:02:15.129
613243|1|RecvData 002007|recv|002007|packet|6423a59427ad4a6b18d82d3d|2023-03-29 03:02:15.203
613706|2|SendData 002008|send|002008|packet|6423a59527ad4a6b18d82d3e|2023-03-29 03:02:16.129
613723|1|RecvData 002008|recv|002008|packet|6423a59627ad4a6b18d82d3f|2023-03-29 03:02:16.163
614206|2|SendData 002009|send|002009|packet|6423a59727ad4a6b18d82d40|2023-03-29 03:02:17.129
614324|1|RecvData 002009|recv|002009|packet|6423a59827ad4a6b18d82d41|2023-03-29 03:02:17.365
614525|3|SendData 003001|send|003001|packet|6423a59927ad4a6b18d82d42|2023-03-29 03:02:17.767
614564|1|RecvData 003001|recv|003001|packet|6423a59a27ad4a6b18d82d43|2023-03-29 03:02:17.845
614706|2|SendData 002010|send|002010|packet|6423a59b27ad4a6b18d82d44|2023-03-29 03:02:18.129
614804|1|RecvData 002010|recv|002010|packet|6423a59c27ad4a6b18d82d45|2023-03-29 03:02:18.325
615025|3|SendData 003002|send|003002|packet|6423a59d27ad4a6b18d82d46|2023-03-29 03:02:18.767
615045|1|RecvData 003002|recv|003002|packet|6423a59e27ad4a6b18d82d47|2023-03-29 03:02:18.807
615206|2|SendData 002011|send|002011|packet|6423a59f27ad4a6b18d82d48|2023-03-29 03:02:19.129
615285|1|RecvData 002011|recv|002011|packet|6423a5a027ad4a6b18d82d49|2023-03-29 03:02:19.287
615525|3|SendData 003003|send|003003|packet|6423a5a127ad4a6b18d82d4a|2023-03-29 03:02:19.767
615645|1|RecvData 003003|recv|003003|packet|6423a5a227ad4a6b18d82d4b|2023-03-29 03:02:20.007
615706|2|SendData 002012|send|002012|packet|6423a5a327ad4a6b18d82d4c|2023-03-29 03:02:20.129
615765|1|RecvData 002012|recv|002012|packet|6423a5a427ad4a6b18d82d4d|2023-03-29 03:02:20.247
616028|3|SendData 003004|send|003004|packet|6423a5a527ad4a6b18d82d4e|2023-03-29 03:02:20.773
616126|1|RecvData 003004|recv|003004|packet|6423a5a627ad4a6b18d82d4f|2023-03-29 03:02:20.969
616206|2|SendData 002013|send|002013|packet|6423a5a727ad4a6b18d82d50|2023-03-29 03:02:21.129
616246|1|RecvData 002013|recv|002013|packet|6423a5a827ad4a6b18d82d51|2023-03-29 03:02:21.209
616525|3|SendData 003005|send|003005|packet|6423a5a927ad4a6b18d82d52|2023-03-29 03:02:21.767
616606|1|RecvData 003005|recv|003005|packet|6423a5aa27ad4a6b18d82d53|2023-03-29 03:02:21.929
616706|2|SendData 002014|send|002014|packet|6423a5ab27ad4a6b18d82d54|2023-03-29 03:02:22.129
616726|1|RecvData 002014|recv|002014|packet|6423a5ac27ad4a6b18d82d55|2023-03-29 03:02:22.169
617025|3|SendData 003006|send|003006|packet|6423a5ad27ad4a6b18d82d56|2023-03-29 03:02:22.767
